Date,Open,High,Low,Close,Volume
19-Aug-16,160.84,160.91,159.52,160.04,2815184
18-Aug-16,160.89,162,160.44,161.36,3652013
17-Aug-16,160.97,161.16,159.84,160.44,3225919
16-Aug-16,161.11,161.93,160.69,160.7,2210229
15-Aug-16,162.4,162.97,161.78,161.88,2970415
12-Aug-16,163.19,163.46,161.52,161.95,2543079
11-Aug-16,162.25,164.95,162.18,163.53,8768585
10-Aug-16,162.19,162.66,161.96,162.08,2466675
9-Aug-16,162.22,162.77,161.64,161.77,2737530
8-Aug-16,162.73,163.27,161.58,162.04,3039306
5-Aug-16,162,163.51,161.57,163.5,3812370
4-Aug-16,160.86,161.7,160.12,161.55,2489068
3-Aug-16,160.13,160.86,159.8,160.67,2861659
2-Aug-16,161.27,161.45,160.36,160.58,3080899
1-Aug-16,160.65,161.65,159.84,161.45,2823588
29-Jul-16,161.36,161.67,160.03,160.62,3547546
28-Jul-16,161.38,161.81,160.71,161.37,2340369
27-Jul-16,162.12,162.57,161.18,161.83,2162680
26-Jul-16,162.65,163.6,161.37,162.12,2894559
25-Jul-16,162,162.88,161.75,162.65,2804578
22-Jul-16,160.78,162.17,160.48,162.07,2520077
21-Jul-16,160.75,161.85,159.89,160.45,4048975
20-Jul-16,159.97,161.71,159.6,161.36,4376286
19-Jul-16,161.78,162.14,157.89,159.58,7120017
18-Jul-16,159.3,160.75,158.73,159.86,6729685
15-Jul-16,159.9,159.98,158.5,159.78,4476810
14-Jul-16,158.81,161.4,158.58,160.28,4637644
13-Jul-16,157.75,158.34,157.06,158.02,2746439
12-Jul-16,156,157.12,155.52,157.04,3843793
11-Jul-16,154.6,156.04,154.5,155.33,2833712
8-Jul-16,154,154.6,153.08,154.46,3040593
7-Jul-16,152.75,153.69,151.89,152.6,2138421
6-Jul-16,151.85,152.41,149.92,152.37,2569393
5-Jul-16,151.19,152,150.76,151.68,2465240
1-Jul-16,152.19,152.97,151.4,152.35,2658280
30-Jun-16,148.86,151.91,148.67,151.78,3967126
29-Jun-16,146.5,148.48,146.45,148.46,3367736
28-Jun-16,144.78,145.73,144.22,145.7,3997694
27-Jun-16,146.18,146.6,142.5,143.5,5166665
24-Jun-16,149.97,150.61,146.18,146.59,9082793
23-Jun-16,153.45,155.48,152.6,155.35,3969369
22-Jun-16,153.75,154.71,152.27,152.92,2833664
21-Jun-16,154.16,154.57,153.69,154.05,2760344
20-Jun-16,152.6,154.67,152.52,153.61,3572102
17-Jun-16,150.96,152.72,150.6,151.99,4663870
16-Jun-16,150.19,151.3,149,151.06,2449064
15-Jun-16,151.46,151.79,150.6,150.68,2260406
14-Jun-16,151.28,151.79,150.4,151.06,2865833
13-Jun-16,151.63,152.5,150.28,151.28,3610407
10-Jun-16,152.79,153.33,151.86,152.37,3120563
