Store Number,City,Zip Code,County,Q1_15 Total Bottles Sold,Q1_15 Average Margin Ratio,Q1_15 Average Sale (Dollars),Q1_15 Total Sales (Dollars),Q1_15 Total Transactions,Q1_15 Average Volume per Sale (Liters),Q1_15 Total Volume Sold (Liters),Q1_15 DaysOpen,Q1_15 Average Price per Bottle (Dollars),Q1_15 Average Price per Liter (Dollars),Q1_15 Average Margin,Q1_15 Average Sales per Day
2106,CEDAR FALLS,50613,Black Hawk,23316,0.334027954008,278.190206271,337166.53,1212,17.9996287129,21815.55,12,16.4549752475,19.3761775106,92.8717244224,3705.1267033
2113,GOWRIE,50543,Webster,1618,0.334035601878,66.7219701493,22351.86,335,4.78829850746,1604.08,11,15.9477014925,17.7679086709,22.2914925373,245.624835165
2130,WATERLOO,50703,Black Hawk,17707,0.333880202674,298.671462366,277764.46,930,17.3939462366,16176.37,12,15.6030322581,17.6112508961,99.6340752688,3052.3567033
2178,WAUKON,52172,Allamakee,4279,0.334463735145,100.948831169,54411.42,539,8.11944341373,4376.38,12,14.3852690167,16.0456716066,33.8007606679,597.927692308
2190,DES MOINES,50314,Polk,22457,0.33411282749,83.3137402344,255939.81,3072,4.57868815104,14065.73,43,16.5384798177,22.8452923274,27.8144791667,2812.52538462
2191,KEOKUK,52632,Lee,20120,0.333784207435,224.188819396,319020.69,1423,14.3315671117,20393.82,13,17.1835910049,18.6656898552,74.7883345046,3505.72186813
2200,SAC CITY,50583,Sac,3075,0.334303638094,57.5384898477,45340.33,788,4.30628172589,3393.35,11,17.1716751269,16.8779107429,19.2670304569,498.245384615
2228,WINTERSET,50273,Madison,3974,0.334469292604,70.8764444444,51031.04,720,5.85194444444,4213.4,13,14.9434166667,17.1771464599,23.697625,560.780659341
2233,SPIRIT LAKE,51360,Dickinson,4732,0.334056109501,118.785311419,68657.91,578,8.84967128028,5115.11,13,17.8816608997,19.4302312984,39.68183391,754.482527473
2248,DES MOINES,50312,Polk,6640,0.334195783992,127.445146444,121837.56,956,5.862541841,5604.59,12,20.420125523,26.1788804385,42.6029707113,1338.87428571
2285,IOWA CITY,52240,Johnson,8259,0.33446874263,228.900639626,146725.31,641,10.637550702,6818.67,13,20.3318564743,25.173711277,76.5074726989,1612.36604396
2290,STORM LAKE,50588,Buena Vista,8573,0.333974841389,72.4272981178,119287.76,1647,4.92775956284,8116.02,12,16.1241226472,18.7521104227,24.1919429265,1310.85450549
2327,CORNING,50841,Adams,1804,0.334049414074,56.8017597765,20335.03,358,4.30089385475,1539.72,11,14.3262011173,17.4887363661,18.9787430168,223.461868132
2413,DUBUQUE,52001,Dubuque,13574,0.334109572468,193.224011353,204237.78,1057,12.6896121097,13412.92,14,15.9111447493,16.9515623733,64.521551561,2244.37120879
2445,OAKLAND,51560,Pottawattamie,1535,0.33402303758,43.4337179487,16939.15,390,3.86343589744,1506.74,11,13.9494615385,14.2747195553,14.5038205128,186.144505495
2448,INDIANOLA,50125,Warren,3785,0.333993065349,49.6405366726,55498.12,1118,3.33953488372,3733.6,13,15.1173613596,16.9753226492,16.5646332737,609.869450549
2459,GUTHRIE CENTER,50115,Guthrie,1333,0.335311579423,73.6588940092,15983.98,217,6.23267281106,1352.49,9,12.6146082949,14.3672805125,24.6744700461,175.648131868
2465,DUBUQUE,52003,Dubuque,4427,0.334006922721,61.0942483026,62988.17,1031,3.94304558681,4065.28,13,17.1911542192,20.01476445,20.3951309408,692.177692308
2475,WEST BEND,50597,Kossuth,1800,0.333987916338,139.800707547,29637.75,212,11.3175,2399.31,13,16.7300943396,16.180384097,46.6945283019,325.68956044
2478,ALTOONA,50009,Polk,2773,0.333424240794,211.080995671,48759.71,231,11.3614718615,2624.5,15,19.2251948052,21.9833766234,70.3781385281,535.820989011
2498,ARLINGTON,50606,Fayette,612,0.334776145422,41.9369172932,5577.61,133,3.98601503759,530.14,5,10.2360150376,12.8542937701,14.1087218045,61.2924175824
2500,AMES,50010,Story,22993,0.334520827593,105.346809378,310035.66,2943,7.26915392457,21393.12,12,15.0944206592,18.7979629635,35.2177743799,3406.98527473
2501,AMES,50010,Story,22684,0.334845654067,106.849453232,310718.21,2908,7.28787826685,21193.15,12,15.3776719395,19.3379988701,35.7823796424,3414.48582418
2502,ANKENY,50021,Polk,17545,0.334348227957,160.325785227,258284.84,1611,11.2663749224,18150.13,13,16.0455493482,19.3114434247,53.7660397269,2838.29494505
2505,BOONE,50036,Boone,11212,0.334620447209,113.330596677,150049.71,1324,8.69610271903,11513.64,12,13.549652568,16.3466326682,37.9855664653,1648.89791209
2506,BURLINGTON,52601,Des Moines,20596,0.334172270625,152.496630542,309568.16,2030,10.2158719212,20738.22,13,16.57308867,19.2095376209,50.9449950739,3401.84791209
2507,BURLINGTON,52601,Des Moines,6606,0.33384747296,83.2936340852,66468.32,798,7.16409774436,5716.95,12,11.4778696742,14.2524477568,27.7980701754,730.421098901
2508,CEDAR RAPIDS,52405,Linn,22534,0.334281390615,173.763216406,321983.24,1853,12.6988828926,23531.03,13,15.9999352402,18.5527115761,58.0531732326,3538.27736264
2509,CEDAR RAPIDS,52404,Linn,10378,0.334576938929,124.763639309,115531.13,926,11.2247948164,10394.16,13,13.4072462203,15.1545197023,41.7596220302,1269.57285714
2512,IOWA CITY,52240,Johnson,62904,0.334294336146,255.150539648,926706.76,3632,16.135027533,58602.42,25,16.2717263216,19.6339451178,85.2007654185,10183.5907692
2513,IOWA CITY,52240,Johnson,11808,0.334472488888,107.616621253,157981.2,1468,7.41487057221,10885.03,12,13.5185422343,16.6457056672,35.9609128065,1736.05714286
2514,MARION,50129,Linn,4833,0.334888393259,87.6129674099,51078.36,583,9.62581475129,5611.85,12,10.6191595197,13.5988822137,29.3095025729,561.300659341
